city,coordinates
Абаза,"[90.088581, 52.651662]"
Абакан,"[91.442396, 53.721152]"
Абдулино,"[53.654989, 53.683962]"
Абинск,"[38.151288, 44.866237]"
Агидель,"[53.933439, 55.899043]"
Агрыз,"[52.995266, 56.526323]"
Адыгейск,"[39.190567, 44.884856]"
Азнакаево,"[53.079923, 54.858233]"
Азов,"[39.423581, 47.112448]"
Ак-Довурак,"[90.601061, 51.19084]"
Аксай,"[39.862283, 47.269914]"
Алагир,"[44.219884, 43.041711]"
Алапаевск,"[61.694524, 57.852511]"
Алатырь,"[46.591949, 54.840526]"
Алдан,"[125.388878, 58.608597]"
Алейск,"[82.779457, 52.492167]"
Александров,"[38.727621, 56.397774]"
Александровск,"[57.584669, 59.16293]"
Александровск-Сахалинский,"[142.158915, 50.895768]"
Алексеевка,"[38.686568, 50.630035]"
Алексин,"[37.066034, 54.502429]"
Алзамай,"[98.664357, 55.555072]"
Алупкане призн.,"[34.053462, 44.421239]"
Алуштане призн.,"[34.410129, 44.676411]"
Альметьевск,"[52.29723, 54.901171]"
Амурск,"[136.910607, 50.226797]"
Анадырь,"[177.518913, 64.735814]"
Анапа,"[37.316367, 44.894818]"
Ангарск,"[103.888249, 52.544358]"
Андреаполь,"[32.2647, 56.646257]"
Анжеро-Судженск,"[86.018216, 56.08318]"
Анива,"[142.521879, 46.720816]"
Апатиты,"[33.407187, 67.568023]"
Апрелевка,"[37.073382, 55.544998]"
Апшеронск,"[39.727095, 44.465535]"
Арамиль,"[60.828647, 56.700276]"
Аргун,"[45.867439, 43.292662]"
Ардатов,"[46.241192, 54.84656]"
Ардон,"[44.30535, 43.179601]"
Арзамас,"[43.814133, 55.386799]"
Аркадак,"[43.499858, 51.938814]"
Армавир,"[41.129644, 44.997655]"
Армянскне призн.,"[33.993751, 45.3892]"
Арсеньев,"[133.268729, 44.163345]"
Арск,"[49.876998, 56.091316]"
Артём,"[132.180339, 43.353047]"
Артёмовск,"[93.435758, 54.347336]"
Артёмовский,"[61.895513, 57.337669]"
Архангельск,"[40.515762, 64.539911]"
Асбест,"[61.461474, 57.014317]"
Асино,"[86.153906, 56.997519]"
Астрахань,"[48.030178, 46.347614]"
Аткарск,"[45.003655, 51.877724]"
Ахтубинск,"[46.164422, 48.284884]"
Ачинск,"[90.49524, 56.269501]"
Ачхой-Мартан,"[45.285672, 43.190914]"
Аша,"[57.278469, 54.990628]"
Бабаево,"[35.937768, 59.389227]"
Бабушкин,"[105.864363, 51.715839]"
Бавлы,"[53.235781, 54.40332]"
Багратионовск,"[20.639647, 54.386514]"
Байкальск,"[104.149928, 51.522826]"
Баймак,"[58.308136, 52.597811]"
Бакал,"[58.80918, 54.938064]"
Баксан,"[43.534622, 43.681946]"
Балабаново,"[36.659834, 55.178737]"
Балаково,"[47.819676, 52.01843]"
Балахна,"[43.601331, 56.504919]"
Балашиха,"[37.938118, 55.797007]"
Балашов,"[43.146478, 51.554601]"
Балей,"[116.637948, 51.582284]"
Балтийск,"[19.894477, 54.643775]"
Барабинск,"[78.341923, 55.350412]"
Барнаул,"[83.776856, 53.346785]"
Барыш,"[47.118038, 53.653474]"
Батайск,"[39.744469, 47.138333]"
Бахчисарайне призн.,"[33.848035, 44.744997]"
Бежецк,"[36.693188, 57.781318]"
Белая Калитва,"[40.802388, 48.177644]"
Белая Холуница,"[50.85273, 58.84356]"
Белгород,"[36.587277, 50.595414]"
Белебей,"[54.110111, 54.103214]"
Белёв,"[36.130097, 53.810152]"
Белинский,"[43.417033, 52.9653]"
Белово,"[86.303701, 54.42212]"
Белогорск,"[128.473926, 50.921292]"
Белогорскне призн.,"[34.599916, 45.058059]"
Белозерск,"[37.792456, 60.032074]"
Белокуриха,"[84.983968, 51.996077]"
Беломорск,"[34.763328, 64.53032]"
Белоозёрский,"[38.43892, 55.459619]"
Белорецк,"[58.410023, 53.967621]"
Белореченск,"[39.86849, 44.766017]"
Белоусово,"[36.662654, 55.089532]"
Белоярский,"[66.667597, 63.716043]"
Белый,"[32.938814, 55.833855]"
Бердск,"[83.107135, 54.758288]"
Березники,"[56.806719, 59.407024]"
Берёзовский,"[86.274523, 55.669361]"
Берёзовский,"[60.816457, 56.909583]"
Беслан,"[44.541607, 43.190783]"
Бийск,"[85.220656, 52.541811]"
Бикин,"[134.255043, 46.818592]"
Билибино,"[166.451139, 68.057129]"
Биробиджан,"[132.924746, 48.78992]"
Бирск,"[55.530716, 55.417531]"
Бирюсинск,"[97.813302, 55.962438]"
Бирюч,"[38.40023, 50.649337]"
Благовещенск,"[55.955224, 55.049854]"
Благовещенск,"[127.534611, 50.257456]"
Благодарный,"[43.44003, 45.095656]"
Бобров,"[40.035604, 51.097724]"
Богданович,"[62.057129, 56.773977]"
Богородицк,"[38.131696, 53.770699]"
Богородск,"[43.516764, 56.103362]"
Боготол,"[89.531222, 56.211523]"
Богучар,"[40.559088, 49.935512]"
Бодайбо,"[114.199867, 57.847975]"
Бокситогорск,"[33.847675, 59.473576]"
Болгар,"[49.022628, 54.982239]"
Бологое,"[34.04959, 57.885636]"
Болотное,"[84.385447, 55.672006]"
Болохово,"[37.826799, 54.082113]"
Болхов,"[36.005087, 53.443097]"
Большой Камень,"[132.350345, 43.111725]"
Бор,"[44.064575, 56.356522]"
Борзя,"[116.527042, 50.391551]"
Борисоглебск,"[42.075183, 51.366308]"
Боровичи,"[33.910459, 58.390115]"
Боровск,"[36.48353, 55.207428]"
Бородино,"[94.902177, 55.905442]"
Братск,"[101.633505, 56.151682]"
Бронницы,"[38.264243, 55.42565]"
Брянск,"[34.363991, 53.2434]"
Бугульма,"[52.798634, 54.541877]"
Бугуруслан,"[52.432606, 53.6523]"
Будённовск,"[44.165024, 44.781528]"
Бузулук,"[52.263292, 52.787097]"
Буинск,"[48.290151, 54.964158]"
Буй,"[41.533113, 58.481724]"
Буйнакск,"[47.115927, 42.821755]"
Бутурлиновка,"[40.584825, 50.835367]"
Валдай,"[33.246406, 57.98069]"
Валуйки,"[38.100111, 50.211332]"
Велиж,"[31.195364, 55.605485]"
Великие Луки,"[30.515671, 56.343703]"
Великий Новгород,"[31.269816, 58.522857]"
Великий Устюг,"[46.297849, 60.761156]"
Вельск,"[42.10331, 61.065915]"
Венёв,"[38.265536, 54.350369]"
Верещагино,"[54.658092, 58.079766]"
Верея,"[36.185694, 55.343369]"
Верхнеуральск,"[59.206613, 53.872842]"
Верхний Тагил,"[59.934132, 57.371773]"
Верхний Уфалей,"[60.221107, 56.054673]"
Верхняя Пышма,"[60.573462, 56.970236]"
Верхняя Салда,"[60.546253, 58.050898]"
Верхняя Тура,"[59.820153, 58.359818]"
Верхотурье,"[60.810222, 58.862216]"
Верхоянск,"[133.388088, 67.54843]"
Весьегонск,"[37.259288, 58.658093]"
Ветлуга,"[45.776099, 57.852889]"
Видное,"[37.70876, 55.557037]"
Вилюйск,"[121.623607, 63.7549]"
Вилючинск,"[158.405063, 52.93179]"
Вихоревка,"[101.170396, 56.120723]"
Вичуга,"[41.918158, 57.217138]"
Владивосток,"[131.885494, 43.115542]"
Владикавказ,"[44.681771, 43.024616]"
Владимир,"[40.406635, 56.129057]"
Волгоград,"[44.516975, 48.707067]"
Волгодонск,"[42.206329, 47.519624]"
Волгореченск,"[41.157438, 57.439522]"
Волжск,"[48.378168, 55.860428]"
Волжский,"[44.751229, 48.786127]"
Вологда,"[39.891523, 59.220501]"
Володарск,"[43.179977, 56.223621]"
Волоколамск,"[35.955222, 56.035869]"
Волосово,"[29.484819, 59.447275]"
Волхов,"[32.352681, 59.900543]"
Волчанск,"[60.077871, 59.934749]"
Вольск,"[47.387299, 52.045978]"
Воркута,"[64.050113, 67.493504]"
Воронеж,"[39.200296, 51.660781]"
Ворсма,"[43.274821, 55.988067]"
Воскресенск,"[38.673362, 55.322978]"
Воткинск,"[53.985236, 57.05232]"
Всеволожск,"[30.645873, 60.024626]"
Вуктыл,"[57.29984, 63.844407]"
Выборг,"[28.749781, 60.710496]"
Выкса,"[42.16797, 55.320688]"
Высоковск,"[36.551236, 56.320248]"
Высоцк,"[28.568277, 60.625604]"
Вытегра,"[36.449511, 61.006359]"
Вышний Волочёк,"[34.558836, 57.584174]"
Вяземский,"[134.753635, 47.535066]"
Вязники,"[42.158862, 56.247026]"
Вязьма,"[34.298037, 55.205944]"
Вятские Поляны,"[51.074919, 56.222896]"
Гаврилов Посад,"[40.120297, 56.558452]"
Гаврилов-Ям,"[39.853847, 57.303956]"
Гагарин,"[34.996854, 55.553299]"
Гаджиево,"[33.315082, 69.250425]"
Гай,"[58.440637, 51.463453]"
Галич,"[42.34749, 58.381203]"
Гатчина,"[30.122892, 59.56841]"
Гвардейск,"[21.071341, 54.647708]"
Гдов,"[27.819594, 58.744398]"
Геленджик,"[38.077115, 44.561012]"
Георгиевск,"[43.474274, 44.147959]"
Глазов,"[52.674253, 58.140801]"
Голицыно,"[36.987126, 55.615949]"
Горбатов,"[43.062701, 56.130874]"
Горно-Алтайск,"[85.960634, 51.957804]"
Горнозаводск,"[58.330917, 58.374682]"
Горняк,"[81.460766, 50.999759]"
Городец,"[43.47236, 56.644822]"
Городище,"[45.70267, 53.272758]"
Городовиковск,"[41.936052, 46.083105]"
Гороховец,"[42.691203, 56.2017]"
Горячий Ключ,"[39.136426, 44.634246]"
Грайворон,"[35.66583, 50.486275]"
Гремячинск,"[57.852043, 58.562604]"
Грозный,"[45.692421, 43.318366]"
Грязи,"[39.95533, 52.496191]"
Грязовец,"[40.248432, 58.875793]"
Губаха,"[57.554584, 58.837022]"
Губкин,"[37.534757, 51.283644]"
Губкинский,"[76.500503, 64.432625]"
Гудермес,"[46.102906, 43.352037]"
Гуково,"[39.934929, 48.061025]"
Гулькевичи,"[40.695236, 45.360342]"
Гурьевск,"[20.608359, 54.770401]"
Гурьевск,"[85.947635, 54.285935]"
Гусев,"[22.201117, 54.591841]"
Гусиноозёрск,"[106.529323, 51.285526]"
Гусь-Хрустальный,"[40.671045, 55.614556]"
Давлеканово,"[55.03057, 54.212956]"
Дагестанские Огни,"[48.193923, 42.115189]"
Далматово,"[62.93932, 56.258613]"
Дальнегорск,"[135.576366, 44.558764]"
Дальнереченск,"[133.726941, 45.931182]"
Данилов,"[40.174995, 58.188193]"
Данков,"[39.134423, 53.246197]"
Дегтярск,"[60.086827, 56.698344]"
Дедовск,"[37.120445, 55.859953]"
Демидов,"[31.515011, 55.26444]"
Дербент,"[48.288776, 42.057669]"
Десногорск,"[33.287881, 54.152351]"
Джанкойне призн.,"[34.392872, 45.713348]"
Дзержинск,"[43.461634, 56.238382]"
Дзержинский,"[37.849616, 55.630944]"
Дивногорск,"[92.380148, 55.957726]"
Дигора,"[44.155044, 43.156732]"
Димитровград,"[49.623924, 54.217515]"
Дмитриев,"[35.080353, 52.12778]"
Дмитров,"[37.517608, 56.342905]"
Дмитровск,"[35.141645, 52.505127]"
Дно,"[29.961393, 57.828222]"
Добрянка,"[56.403986, 58.468068]"
Долгопрудный,"[37.51423, 55.933302]"
Долинск,"[142.79821, 47.324133]"
Домодедово,"[37.768004, 55.437174]"
Донецк,"[39.944856, 48.337126]"
Донской,"[38.33741, 53.968352]"
Дорогобуж,"[33.297044, 54.912677]"
Дрезна,"[38.842371, 55.741404]"
Дубна,"[37.162189, 56.736345]"
Дубовка,"[44.826957, 49.055375]"
Дудинка,"[86.164992, 69.405769]"
Духовщина,"[32.414171, 55.191356]"
Дюртюли,"[54.873472, 55.48529]"
Дятьково,"[34.339656, 53.597311]"
Евпаторияне призн.,"[33.367643, 45.190635]"
Егорьевск,"[39.035842, 55.383055]"
Ейск,"[38.27266, 46.711944]"
Екатеринбург,"[60.597474, 56.838011]"
Елабуга,"[52.053939, 55.757496]"
Елец,"[38.500446, 52.621938]"
Елизово,"[158.382659, 53.189231]"
Ельня,"[33.182743, 54.575911]"
Еманжелинск,"[61.317223, 54.752147]"
Емва,"[50.886569, 62.598375]"
Енисейск,"[92.173778, 58.453074]"
Ермолино,"[36.595272, 55.196911]"
Ершов,"[48.266498, 51.349829]"
Ессентуки,"[42.85891, 44.044526]"
Ефремов,"[38.117673, 53.137603]"
Железноводск,"[43.030506, 44.131967]"
Железногорск,"[93.532264, 56.252922]"
Железногорск,"[35.350871, 52.339203]"
Железногорск-Илимский,"[104.114292, 56.584848]"
Жердевка,"[41.469638, 51.844163]"
Жигулёвск,"[49.494657, 53.40172]"
Жиздра,"[34.734187, 53.7474]"
Жирновск,"[44.778843, 50.978718]"
Жуков,"[36.747895, 55.030627]"
Жуковка,"[33.732547, 53.533067]"
Жуковский,"[38.119811, 55.59748]"
Завитинск,"[129.439318, 50.106524]"
Заводоуковск,"[66.539453, 56.509583]"
Заволжск,"[42.138748, 57.490765]"
Заволжье,"[43.387164, 56.640441]"
Задонск,"[38.919456, 52.391972]"
Заинск,"[52.000427, 55.283928]"
Закаменск,"[103.286764, 50.372602]"
Заозёрный,"[94.709228, 55.961818]"
Заозёрск,"[32.445648, 69.401974]"
Западная Двина,"[32.071275, 56.259628]"
Заполярный,"[30.820524, 69.426135]"
Зарайск,"[38.881718, 54.758475]"
Заречный,"[45.169071, 53.196088]"
Заречный,"[61.320349, 56.814966]"
Заринск,"[84.931488, 53.706337]"
Звенигово,"[48.015329, 55.972312]"
Звенигород,"[36.854463, 55.729828]"
Зверево,"[40.12301, 48.021693]"
Зеленогорск,"[94.588844, 56.113291]"
Зеленоградск,"[20.47504, 54.960075]"
Зеленодольск,"[48.492802, 55.847048]"
Зеленокумск,"[43.884148, 44.403288]"
Зерноград,"[40.312824, 46.849564]"
Зея,"[127.265889, 53.734038]"
Зима,"[102.049065, 53.920725]"
Златоуст,"[59.672425, 55.173113]"
Злынка,"[31.737084, 52.427389]"
Змеиногорск,"[82.198472, 51.153908]"
Знаменск,"[45.723188, 48.587337]"
Зубцов,"[34.582902, 56.170536]"
Зуевка,"[51.133435, 58.403217]"
Ивангород,"[28.219712, 59.37649]"
Иваново,"[40.97393, 57.000353]"
Ивантеевка,"[37.907414, 55.976201]"
Ивдель,"[60.417299, 60.697353]"
Игарка,"[86.567662, 67.46694]"
Ижевск,"[53.2069, 56.852676]"
Избербаш,"[47.871087, 42.565148]"
Изобильный,"[41.708644, 45.368543]"
Иланский,"[96.065306, 56.238557]"
