prof_domain,type,speciality,code,code_group
Добыча нефти и газа,СПО,"Оператор, аппаратчик",21.01.05,21
Добыча нефти и газа,СПО,"Оператор, аппаратчик",21.01.16,21
Добыча нефти и газа,СПО,"Оператор, аппаратчик",21.02.18,21
Добыча нефти и газа,СПО,Монтажник,21.01.06,21
Добыча нефти и газа,СПО,Монтажник,21.01.14,21
Добыча нефти и газа,СПО,Монтажник,21.02.03,21
Добыча нефти и газа,СПО,Машинист,21.01.04,21
Добыча нефти и газа,СПО,Машинист,21.01.03,21
Добыча нефти и газа,СПО,Машинист,21.01.07,21
Добыча нефти и газа,СПО,Машинист,21.01.08,21
Добыча нефти и газа,СПО,Машинист,21.01.09,21
Добыча нефти и газа,СПО,Машинист,21.01.12,21
Добыча нефти и газа,СПО,Мастер по ремонту оборудования,21.01.02,21
Добыча нефти и газа,СПО,Мастер по ремонту оборудования,21.01.10,21
Добыча нефти и газа,СПО,Разнорабочий,21.01.11,21
Добыча нефти и газа,СПО,Разнорабочий,21.01.13,21
Добыча нефти и газа,СПО,Разнорабочий,21.02.15,21
Добыча нефти и газа,СПО,Разнорабочий,21.02.17,21
Добыча нефти и газа,СПО,Слесарь,21.01.15,21
Добыча нефти и газа,СПО,Геодезист,21.02.08,21
Добыча нефти и газа,СПО,Геодезист,21.02.13,21
Добыча нефти и газа,СПО,Геодезист,21.02.14,21
Добыча нефти и газа,СПО,Геолог,21.02.10,21
Добыча нефти и газа,СПО,Геолог,21.02.11,21
Добыча нефти и газа,СПО,Геолог,21.02.12,21
Добыча нефти и газа,СПО,Геолог,21.02.01,21
Добыча нефти и газа,СПО,Геолог,21.02.02,21
Добыча нефти и газа,ВПО,Технолог,21.05.04,21
Добыча нефти и газа,ВПО,Технолог,21.05.05,21
Добыча нефти и газа,ВПО,Технолог,21.03.01,21
Добыча нефти и газа,ВПО,Технолог,21.05.06,21
Добыча нефти и газа,ВПО,Инженер-эколог,05.03.06,05
Добыча нефти и газа,ВПО,Геодезист,21.03.03,21
Добыча нефти и газа,ВПО,Геодезист,21.05.01,21
Добыча нефти и газа,ВПО,Геолог,21.05.02,21
Добыча нефти и газа,ВПО,Геолог,05.03.01,05
Добыча нефти и газа,ВПО,Геолог,21.05.03,21
Добыча угля и металлических руд,СПО,"Оператор, аппаратчик",21.01.01,21
Добыча угля и металлических руд,СПО,"Оператор, аппаратчик",21.01.05,21
Добыча угля и металлических руд,СПО,"Оператор, аппаратчик",21.01.16,21
