,city,5,21,coordinates
0,Абаза,,54.0,"[90.088581, 52.651662]"
1,Абакан,680.0,230.0,"[91.442396, 53.721152]"
2,Абдулино,,99.0,"[53.654989, 53.683962]"
3,Айхал,,41.0,"[111.502199, 65.942105]"
4,Ак-Довурак,,86.0,"[90.601061, 51.19084]"
5,Алатырь,,105.0,"[46.591949, 54.840526]"
6,Алдан,,82.0,"[125.388878, 58.608597]"
7,Александров,,116.0,"[38.727621, 56.397774]"
8,Алексин,58.0,147.0,"[37.066034, 54.502429]"
9,Альметьевск,,5690.0,"[52.29723, 54.901171]"
10,Амурск,,64.0,"[136.910607, 50.226797]"
11,Анадырь,,17.0,"[177.518913, 64.735814]"
12,Анапа,,112.0,"[37.316367, 44.894818]"
13,Анжеро-Судженск,,186.0,"[86.018216, 56.08318]"
14,Апатиты,631.0,1047.0,"[33.407187, 67.568023]"
15,Апшеронск,,72.0,"[39.727095, 44.465535]"
16,Армавир,,1260.0,"[41.129644, 44.997655]"
17,Артем,,134.0,"[132.180339, 43.353047]"
18,Архангельск,1811.0,6478.0,"[40.515762, 64.539911]"
19,Асбест,,140.0,"[61.461474, 57.014317]"
20,Астрахань,3911.0,5774.0,"[48.030178, 46.347614]"
21,Ахтырский,,134.0,"[38.299825, 44.85036]"
22,Ачинск,,31.0,"[90.49524, 56.269501]"
23,Багдарин,,76.0,"[113.592031, 54.443937]"
24,Базарный Карабулак,,80.0,"[46.408495, 52.279892]"
25,Бакал,,41.0,"[58.80918, 54.938064]"
26,Балашиха,78.0,,"[37.938118, 55.797007]"
27,Балашов,14.0,110.0,"[43.146478, 51.554601]"
28,Баранчинский,,54.0,"[59.696581, 58.162281]"
29,Барда,,35.0,"[55.591451, 56.927192]"
30,Барнаул,5859.0,2728.0,"[83.776856, 53.346785]"
31,Белгород,1780.0,5519.0,"[36.587277, 50.595414]"
32,Белово,,1660.0,"[86.303701, 54.42212]"
33,Белореченск,,132.0,"[39.86849, 44.766017]"
34,Березники,,657.0,"[56.806719, 59.407024]"
35,Березовский,,140.0,"[60.816457, 56.909583]"
36,Березовский,,140.0,"[86.274523, 55.669361]"
37,Бея,,62.0,"[90.920592, 53.045567]"
38,Бийск,,588.0,"[85.220656, 52.541811]"
39,Биробиджан,373.0,79.0,"[132.924746, 48.78992]"
40,Бирск,808.0,105.0,"[55.530716, 55.417531]"
41,Благовещенка,,58.0,"[79.868718, 52.833975]"
42,Благовещенск,770.0,4577.0,"[55.955224, 55.049854]"
43,Благовещенск,770.0,4577.0,"[127.534611, 50.257456]"
44,Богородицк,,88.0,"[38.131696, 53.770699]"
45,Бодайбо,,133.0,"[114.199867, 57.847975]"
46,Большая Глушица,,49.0,"[50.471907, 52.392769]"
47,Борисоглебск,,128.0,"[42.075183, 51.366308]"
48,Братск,373.0,,"[101.633505, 56.151682]"
49,Брюховецкая,,224.0,"[38.997295, 45.802003]"
50,Брянск,586.0,766.0,"[34.363991, 53.2434]"
51,Бугульма,,277.0,"[52.798634, 54.541877]"
52,Бугуруслан,,426.0,"[52.432606, 53.6523]"
53,Бузулук,,564.0,"[52.263292, 52.787097]"
54,Буй,,120.0,"[41.533113, 58.481724]"
55,Великий Новгород,696.0,351.0,"[31.269816, 58.522857]"
56,Великое,,35.0,"[39.773924, 57.349073]"
57,Вельск,,68.0,"[42.10331, 61.065915]"
58,Верхняя Пышма,,896.0,"[60.573462, 56.970236]"
59,Владивосток,6392.0,7830.0,"[131.885494, 43.115542]"
60,Владикавказ,1081.0,6285.0,"[44.681771, 43.024616]"
61,Владикавказ,1081.0,6285.0,"[44.681771, 43.024616]"
62,Владимир,843.0,307.0,"[40.406635, 56.129057]"
63,Волгоград,3188.0,3230.0,"[44.516975, 48.707067]"
64,Волжский,532.0,,"[44.751229, 48.786127]"
65,Волжский,532.0,,"[44.571503, 56.046519]"
66,Вологда,1407.0,1384.0,"[39.891523, 59.220501]"
67,Волоколамск,,74.0,"[35.955222, 56.035869]"
68,Волхов,,203.0,"[32.352681, 59.900543]"
69,Вольск,,48.0,"[47.387299, 52.045978]"
70,Воркута,,1267.0,"[64.050113, 67.493504]"
71,Воронеж,14509.0,10942.0,"[39.200296, 51.660781]"
72,Воскресенск,,145.0,"[38.673362, 55.322978]"
73,Воткинск,,769.0,"[53.985236, 57.05232]"
74,Всеволожск,,139.0,"[30.645873, 60.024626]"
75,Выкса,,193.0,"[42.16797, 55.320688]"
76,Выльгорт,,63.0,"[50.768369, 61.626965]"
77,Вязьма,,16.0,"[34.298037, 55.205944]"
78,Гатчина,,195.0,"[30.122892, 59.56841]"
79,Геленджик,,75.0,"[38.077115, 44.561012]"
80,Георгиевск,,140.0,"[43.474274, 44.147959]"
81,Горно-Алтайск,1426.0,449.0,"[85.960634, 51.957804]"
82,Горнозаводск,,47.0,"[58.330917, 58.374682]"
83,Горнозаводск,,47.0,"[141.846759, 46.560619]"
84,Горячий Ключ,,89.0,"[39.136426, 44.634246]"
85,Грозный,3193.0,5844.0,"[45.692421, 43.318366]"
86,Губкин,,4893.0,"[37.534757, 51.283644]"
87,Губкинский,,99.0,"[76.500503, 64.432625]"
88,Гуково,,74.0,"[39.934929, 48.061025]"
89,Гусев,,143.0,"[22.201117, 54.591841]"
90,Дальнегорск,,101.0,"[135.576366, 44.558764]"
91,Дзержинск,,107.0,"[43.461634, 56.238382]"
92,Дзержинский,121.0,,"[37.849616, 55.630944]"
93,Димитровград,,123.0,"[49.623924, 54.217515]"
94,Дмитриев,,57.0,"[35.080353, 52.12778]"
95,Дмитров,,395.0,"[37.517608, 56.342905]"
96,Долгое Ледово,,287.0,"[37.975596, 55.854966]"
97,Дубна,1045.0,901.0,"[37.162189, 56.736345]"
98,Дудинка,,41.0,"[86.164992, 69.405769]"
99,Дюртюли,,159.0,"[54.873472, 55.48529]"
100,Ейск,,134.0,"[38.27266, 46.711944]"
101,Екатеринбург,4373.0,8249.0,"[60.597474, 56.838011]"
102,Елец,,36.0,"[38.500446, 52.621938]"
103,Елизово,,165.0,"[158.382659, 53.189231]"
104,Железногорск,,244.0,"[93.532264, 56.252922]"
105,Железногорск,,244.0,"[35.350871, 52.339203]"
106,Железногорск-Илимский,,62.0,"[104.114292, 56.584848]"
107,Жирновск,,310.0,"[44.778843, 50.978718]"
108,Закаменск,,48.0,"[103.286764, 50.372602]"
109,Зерноград,,396.0,"[40.312824, 46.849564]"
110,Зея,,48.0,"[127.265889, 53.734038]"
111,Зюкайка,,16.0,"[54.711722, 58.204913]"
112,Иваново,216.0,184.0,"[40.97393, 57.000353]"
113,Игарка,,25.0,"[86.567662, 67.46694]"
114,Игрим,,74.0,"[64.421944, 63.196228]"
115,Ижевск,3018.0,7101.0,"[53.2069, 56.852676]"
116,Избербаш,,164.0,"[47.871087, 42.565148]"
117,Инза,,51.0,"[46.351649, 53.85704]"
118,Инской,,167.0,"[86.42845, 54.433213]"
119,Иркутск,4290.0,4362.0,"[104.280606, 52.289588]"
120,Ирша,,140.0,"[94.799841, 55.927644]"
121,Ишимбай,,653.0,"[56.04395, 53.454626]"
122,Йошкар-Ола,1717.0,2026.0,"[47.886178, 56.6316]"
123,Кавалерово,,103.0,"[135.057292, 44.267653]"
124,Казань,2115.0,14901.0,"[49.106414, 55.796127]"
125,Калашниково,,82.0,"[35.224541, 57.279735]"
126,Калининград,2535.0,1116.0,"[20.510137, 54.710162]"
127,Калуга,,988.0,"[36.261224, 54.513845]"
128,Канаш,,216.0,"[47.491764, 55.506943]"
129,Каневская,,50.0,"[38.971953, 46.084805]"
130,Канск,,178.0,"[95.705064, 56.20505]"
131,Карачаевск,1691.0,,"[41.911475, 43.769958]"
132,Касимов,,81.0,"[41.391368, 54.937288]"
133,Качканар,,67.0,"[59.485037, 58.70526]"
134,Кемерово,2805.0,2275.0,"[86.086847, 55.355198]"
135,Керчь,,142.0,"[36.467378, 45.356219]"
136,Кизляр,,144.0,"[46.710338, 43.850312]"
137,Ким,,82.0,"[54.612188, 53.897122]"
138,Киров,2568.0,1477.0,"[34.307999, 54.079614]"
139,Киров,2568.0,1477.0,"[49.668023, 58.603595]"
140,Кировград,,35.0,"[60.062321, 57.431916]"
141,Кировск,,130.0,"[30.981457, 59.87533]"
142,Кировск,,130.0,"[33.668237, 67.61206]"
143,Киселевск,,206.0,"[86.636688, 54.006025]"
144,Ковдор,,83.0,"[30.474034, 67.562917]"
145,Ковылкино,,162.0,"[43.91505, 54.0379]"
146,Когалым,,57.0,"[74.482761, 62.264069]"
147,Колпашево,,69.0,"[82.902688, 58.311389]"
148,Комсомольск-на-Амуре,343.0,1019.0,"[137.008685, 50.550055]"
149,Константиновск,,67.0,"[41.096694, 47.577341]"
150,Копейск,,151.0,"[61.611574, 55.115697]"
151,Королев,,422.0,"[37.815211, 55.918953]"
152,Костомукша,,78.0,"[30.596637, 64.587358]"
153,Кострома,,158.0,"[40.926894, 57.767918]"
154,Котово,,187.0,"[44.801328, 50.322064]"
155,Краснодар,9340.0,18591.0,"[38.975313, 45.03547]"
156,Краснокаменск,,68.0,"[118.034146, 50.098683]"
157,Красноуфимск,,83.0,"[57.770791, 56.617928]"
158,Красноярск,2601.0,5503.0,"[92.852572, 56.010569]"
159,Красный Чикой,,40.0,"[108.755618, 50.363943]"
160,Красный Яр,,37.0,"[48.021312, 56.033435]"
161,Красный Яр,,37.0,"[50.389343, 53.498062]"
162,Красный Яр,,37.0,"[48.349233, 46.534259]"
163,Крымск,,215.0,"[37.987894, 44.935414]"
164,Кстово,,230.0,"[44.206805, 56.150665]"
165,Кудымкар,,191.0,"[54.664183, 59.014548]"
166,Кунгур,,108.0,"[56.944215, 57.42881]"
167,Курган,1623.0,245.0,"[65.341118, 55.441004]"
168,Курск,1955.0,1744.0,"[36.193015, 51.730846]"
169,Куртамыш,,94.0,"[64.42799, 54.910156]"
170,Кушнаренково,,176.0,"[55.33297, 55.1012]"
171,Кызыл,474.0,844.0,"[94.43799, 51.71989]"
172,Лагань,,61.0,"[47.354142, 45.392903]"
173,Лангепас,,84.0,"[75.180725, 61.253706]"
174,Лениногорск,,109.0,"[52.442676, 54.599028]"
175,Ленинск-Кузнецкий,,350.0,"[86.162243, 54.663609]"
176,Лиман,,25.0,"[47.223824, 45.781843]"
177,Липецк,597.0,405.0,"[39.599229, 52.608826]"
178,Лисино-Корпус,,99.0,"[30.659806, 59.427952]"
179,Локоть,,101.0,"[34.577036, 52.560927]"
180,Льгов,,10.0,"[35.257456, 51.655953]"
181,Лянтор,,107.0,"[72.155361, 61.620667]"
182,Магадан,,2275.0,"[150.808586, 59.565155]"
183,Магнитогорск,,7025.0,"[58.980291, 53.407163]"
184,Майкоп,,2252.0,"[40.105852, 44.606683]"
185,Майский,300.0,1115.0,"[44.051756, 43.628254]"
186,Майский,300.0,1115.0,"[36.455233, 50.523238]"
187,Маркс,,73.0,"[46.740144, 51.712591]"
188,Махачкала,2744.0,4193.0,"[47.504745, 42.9831]"
189,Мегион,,75.0,"[76.102621, 61.03289]"
190,Междуреченск,,1842.0,"[88.080398, 53.685199]"
191,Мелеуз,352.0,32.0,"[55.927672, 52.959143]"
192,Миасс,311.0,456.0,"[60.109599, 55.050432]"
193,Мирный,,6906.0,"[113.978701, 62.541028]"
194,Мирный,,6906.0,"[40.326613, 62.761555]"
195,Мирный,,6906.0,"[61.733762, 55.251501]"
196,Михайловка,,99.0,"[43.23445, 50.07938]"
197,Михайловка,,99.0,"[55.889629, 54.807658]"
