,city,8,15,26,27,coordinates
0,Абаза,55.0,55.0,,,"[90.088581, 52.651662]"
1,Абакан,3093.0,531.0,,,"[91.442396, 53.721152]"
2,Абзелилово,,63.0,,,"[58.661183, 53.467766]"
3,Авторемзавод,,116.0,,,"[31.684901, 54.759711]"
4,Агидель,94.0,,,,"[53.933439, 55.899043]"
5,Агроном,74.0,77.0,,,"[39.020525, 53.040294]"
6,Азнакаево,,57.0,,,"[53.079923, 54.858233]"
7,Азов,65.0,797.0,,212.0,"[39.423581, 47.112448]"
8,Айхал,,51.0,,,"[111.502199, 65.942105]"
9,Ак-Довурак,,87.0,,,"[90.601061, 51.19084]"
10,Акбулак,,60.0,,,"[55.619263, 51.004293]"
11,Аксай,80.0,68.0,,,"[39.862283, 47.269914]"
12,Алапаевск,113.0,105.0,,,"[61.694524, 57.852511]"
13,Алатырь,340.0,99.0,,,"[46.591949, 54.840526]"
14,Алдан,101.0,100.0,,,"[125.388878, 58.608597]"
15,Алейск,71.0,67.0,,,"[82.779457, 52.492167]"
16,Александров,101.0,100.0,,,"[38.727621, 56.397774]"
17,Александров Гай,,64.0,,,"[48.585724, 50.143774]"
18,Александровск,41.0,40.0,,,"[57.584669, 59.16293]"
19,Александровск-Сахалинский,53.0,,,,"[142.158915, 50.895768]"
20,Александровское,87.0,,,,"[43.005048, 44.710525]"
21,Александровское,87.0,,,,"[77.868475, 60.426124]"
22,Алексеевка,,68.0,,,"[38.686568, 50.630035]"
23,Алексин,,248.0,,,"[37.066034, 54.502429]"
24,Алтайское,,102.0,,,"[85.338182, 51.952237]"
25,Альметьевск,559.0,2633.0,,353.0,"[52.29723, 54.901171]"
26,Амурск,,57.0,,,"[136.910607, 50.226797]"
27,Анадырь,6.0,,,,"[177.518913, 64.735814]"
28,Анапа,490.0,,,,"[37.316367, 44.894818]"
29,Ангарск,1146.0,1502.0,,,"[103.888249, 52.544358]"
30,Анжеро-Судженск,,144.0,,,"[86.018216, 56.08318]"
31,Апатиты,49.0,52.0,,,"[33.407187, 67.568023]"
32,Апшеронск,,270.0,,,"[39.727095, 44.465535]"
33,Аргун,,157.0,,,"[45.867439, 43.292662]"
34,Арзамас,96.0,2192.0,,,"[43.814133, 55.386799]"
35,Армавир,1368.0,546.0,,,"[41.129644, 44.997655]"
36,Армянск,,147.0,,,"[33.691315, 46.110727]"
37,Арсеньев,98.0,189.0,,30.0,"[133.268729, 44.163345]"
38,Арск,202.0,,,,"[49.876998, 56.091316]"
39,Артем,379.0,192.0,,,"[132.180339, 43.353047]"
40,Артемовский,138.0,65.0,,,"[61.895513, 57.337669]"
41,Арти,23.0,21.0,,,"[58.532544, 56.416794]"
42,Архангельск,6718.0,2078.0,1172.0,455.0,"[40.515762, 64.539911]"
43,Асбест,99.0,92.0,,,"[61.461474, 57.014317]"
44,Асино,,67.0,,,"[86.153906, 56.997519]"
45,Аскиз,88.0,,,,"[90.533786, 53.131974]"
46,Астрахань,4507.0,4443.0,10357.0,,"[48.030178, 46.347614]"
47,Аткарск,,60.0,,,"[45.003655, 51.877724]"
48,Атяшево,,19.0,,,"[46.077537, 54.588027]"
49,Ахтубинск,63.0,,54.0,,"[46.164422, 48.284884]"
50,Ахтырский,122.0,120.0,,,"[38.299825, 44.85036]"
51,Ачинск,109.0,467.0,,,"[90.49524, 56.269501]"
52,Байкальск,,50.0,,,"[104.149928, 51.522826]"
53,Баймак,162.0,218.0,,,"[58.308136, 52.597811]"
54,Бакал,,39.0,,,"[58.80918, 54.938064]"
55,Бакалы,88.0,,,,"[53.801935, 55.175987]"
56,Баксан,,90.0,,,"[43.534622, 43.681946]"
57,Балаково,1115.0,618.0,78.0,566.0,"[47.819676, 52.01843]"
58,Балахна,69.0,208.0,,,"[43.601331, 56.504919]"
59,Балашиха,148.0,128.0,,,"[37.938118, 55.797007]"
60,Балашов,124.0,213.0,,,"[43.146478, 51.554601]"
61,Барабинск,197.0,,,,"[78.341923, 55.350412]"
62,Баранчинский,50.0,46.0,,,"[59.696581, 58.162281]"
63,Барда,27.0,26.0,,,"[55.591451, 56.927192]"
64,Барнаул,8072.0,5064.0,,1249.0,"[83.776856, 53.346785]"
65,Барыш,,51.0,,,"[47.118038, 53.653474]"
66,Батайск,140.0,119.0,,,"[39.744469, 47.138333]"
67,Батырево,62.0,,,,"[47.604449, 55.067489]"
68,Бахчисарай,462.0,113.0,,,"[33.848035, 44.744997]"
