,prof_domain,type,speciality,industry_code,edu_group_code,speciality_id,edu_group,edu_group_id
0,Добыча нефти и газа,СПО,"Оператор, аппаратчик",mining_oil_gas,21,0,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
1,Добыча нефти и газа,СПО,Монтажник,mining_oil_gas,21,1,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
2,Добыча нефти и газа,СПО,Машинист,mining_oil_gas,21,2,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
3,Добыча нефти и газа,СПО,Мастер по ремонту оборудования,mining_oil_gas,21,3,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
4,Добыча нефти и газа,СПО,Разнорабочий,mining_oil_gas,21,4,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
5,Добыча нефти и газа,СПО,Слесарь,mining_oil_gas,21,5,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
6,Добыча нефти и газа,СПО,Геодезист,mining_oil_gas,21,6,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
7,Добыча нефти и газа,СПО,Геолог,mining_oil_gas,21,7,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
8,Добыча нефти и газа,ВПО,Технолог,mining_oil_gas,21,8,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (ВПО)",1
9,Добыча нефти и газа,ВПО,Инженер-эколог,mining_oil_gas,5,9,Науки о земле (ВПО),2
10,Добыча нефти и газа,ВПО,Геодезист,mining_oil_gas,21,6,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (ВПО)",1
11,Добыча нефти и газа,ВПО,Геолог,mining_oil_gas,21,7,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (ВПО)",1
12,Добыча нефти и газа,ВПО,Геолог,mining_oil_gas,5,7,Науки о земле (ВПО),2
13,Добыча угля и металлических руд,СПО,"Оператор, аппаратчик",mining_coal_ores,21,0,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
14,Добыча угля и металлических руд,СПО,Монтажник,mining_coal_ores,21,1,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
15,Добыча угля и металлических руд,СПО,Машинист,mining_coal_ores,21,2,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
16,Добыча угля и металлических руд,СПО,Мастер по ремонту оборудования,mining_coal_ores,21,3,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
17,Добыча угля и металлических руд,СПО,Разнорабочий,mining_coal_ores,21,4,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
18,Добыча угля и металлических руд,СПО,Слесарь,mining_coal_ores,21,5,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
19,Добыча угля и металлических руд,СПО,Геодезист,mining_coal_ores,21,6,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
20,Добыча угля и металлических руд,СПО,Геолог,mining_coal_ores,21,7,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
21,Добыча угля и металлических руд,ВПО,Технолог,mining_coal_ores,21,8,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (ВПО)",1
22,Добыча угля и металлических руд,ВПО,Инженер-эколог,mining_coal_ores,5,9,Науки о земле (ВПО),2
23,Добыча угля и металлических руд,ВПО,Геодезист,mining_coal_ores,21,6,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (ВПО)",1
24,Добыча угля и металлических руд,ВПО,Геолог,mining_coal_ores,21,7,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (ВПО)",1
25,Добыча угля и металлических руд,ВПО,Геолог,mining_coal_ores,5,7,Науки о земле (ВПО),2
26,Машиностроение,СПО,"Оператор, аппаратчик",mech_engineering,15,0,Машиностроение (СПО),3
27,Машиностроение,СПО,Инженер-конструктор,mech_engineering,15,10,Машиностроение (СПО),3
28,Машиностроение,СПО,Монтажник,mech_engineering,15,1,Машиностроение (СПО),3
29,Машиностроение,СПО,Слесарь,mech_engineering,15,5,Машиностроение (СПО),3
30,Машиностроение,СПО,Сварщик,mech_engineering,15,11,Машиностроение (СПО),3
31,Машиностроение,СПО,Наладчик,mech_engineering,15,12,Машиностроение (СПО),3
32,Машиностроение,СПО,"Токарь, фрезеровщик, шлифовщик",mech_engineering,15,13,Машиностроение (СПО),3
33,Машиностроение,СПО,Контролер ОТК,mech_engineering,15,14,Машиностроение (СПО),3
34,Машиностроение,СПО,Технолог,mech_engineering,15,8,Машиностроение (СПО),3
35,Машиностроение,ВПО,Инженер-проектировщик,mech_engineering,15,15,Машиностроение (ВПО),4
36,Машиностроение,ВПО,Специалист по сертификации,mech_engineering,27,16,Управление в технических системах (ВПО),5
37,Машиностроение,ВПО,Технолог,mech_engineering,15,8,Машиностроение (ВПО),4
38,Машиностроение,ВПО,Инженер по качеству,mech_engineering,27,17,Управление в технических системах (ВПО),5
39,Судостроение,СПО,"Оператор, аппаратчик",shipbuilding,26,0,Техника и технологии кораблестроения и водного транспорта (СПО),6
40,Судостроение,СПО,Контролер ОТК,shipbuilding,15,14,Машиностроение (СПО),3
41,Судостроение,СПО,Разнорабочий,shipbuilding,8,4,Техника и технологии строительства (СПО),7
42,Судостроение,СПО,Механик,shipbuilding,26,18,Техника и технологии кораблестроения и водного транспорта (СПО),6
43,Судостроение,СПО,Монтажник,shipbuilding,26,1,Техника и технологии кораблестроения и водного транспорта (СПО),6
44,Судостроение,СПО,Слесарь,shipbuilding,15,5,Машиностроение (СПО),3
45,Судостроение,СПО,Сварщик,shipbuilding,15,11,Машиностроение (СПО),3
46,Судостроение,СПО,"Токарь, фрезеровщик, шлифовщик",shipbuilding,15,13,Машиностроение (СПО),3
47,Судостроение,ВПО,Инженер-проектировщик,shipbuilding,26,15,Техника и технологии кораблестроения и водного транспорта (ВПО),8
48,Судостроение,ВПО,Специалист по сертификации,shipbuilding,27,16,Управление в технических системах (ВПО),5
49,Судостроение,ВПО,Технолог,shipbuilding,26,8,Техника и технологии кораблестроения и водного транспорта (ВПО),8
50,Судостроение,ВПО,Инженер по качеству,shipbuilding,27,17,Управление в технических системах (ВПО),5
51,Авиастроение и космическая отрасль,СПО,Контролер ОТК,aircraft_engineering,15,14,Машиностроение (СПО),3
52,Авиастроение и космическая отрасль,СПО,Механик,aircraft_engineering,24,18,Авиационная и ракетно-космическая техника (СПО),9
53,Авиастроение и космическая отрасль,СПО,Монтажник,aircraft_engineering,24,1,Авиационная и ракетно-космическая техника (СПО),9
54,Авиастроение и космическая отрасль,СПО,Слесарь,aircraft_engineering,15,5,Машиностроение (СПО),3
55,Авиастроение и космическая отрасль,СПО,Сварщик,aircraft_engineering,15,11,Машиностроение (СПО),3
56,Авиастроение и космическая отрасль,СПО,"Токарь, фрезеровщик, шлифовщик",aircraft_engineering,15,13,Машиностроение (СПО),3
57,Авиастроение и космическая отрасль,СПО,Мастер по ремонту оборудования,aircraft_engineering,24,3,Авиационная и ракетно-космическая техника (СПО),9
58,Авиастроение и космическая отрасль,СПО,Инженер-конструктор,aircraft_engineering,24,10,Авиационная и ракетно-космическая техника (СПО),9
59,Авиастроение и космическая отрасль,ВПО,Инженер-проектировщик,aircraft_engineering,24,15,Авиационная и ракетно-космическая техника (ВПО),10
60,Авиастроение и космическая отрасль,ВПО,Специалист по сертификации,aircraft_engineering,27,16,Управление в технических системах (ВПО),5
61,Авиастроение и космическая отрасль,ВПО,Технолог,aircraft_engineering,24,8,Авиационная и ракетно-космическая техника (ВПО),10
62,Авиастроение и космическая отрасль,ВПО,Инженер по качеству,aircraft_engineering,27,17,Управление в технических системах (ВПО),5
63,Цветная металлургия,СПО,"Оператор, аппаратчик",non_ferrous_metallurgy,22,0,Технологии материалов (СПО),11
64,Цветная металлургия,СПО,"Оператор, аппаратчик",non_ferrous_metallurgy,18,0,Химические технологии (СПО),12
65,Цветная металлургия,СПО,Контролер ОТК,non_ferrous_metallurgy,22,14,Технологии материалов (СПО),11
66,Цветная металлургия,СПО,Контролер ОТК,non_ferrous_metallurgy,15,14,Машиностроение (СПО),3
67,Цветная металлургия,СПО,Машинист,non_ferrous_metallurgy,22,2,Технологии материалов (СПО),11
68,Цветная металлургия,СПО,Машинист,non_ferrous_metallurgy,18,2,Химические технологии (СПО),12
69,Цветная металлургия,СПО,Разнорабочий,non_ferrous_metallurgy,22,4,Технологии материалов (СПО),11
70,Цветная металлургия,СПО,Разнорабочий,non_ferrous_metallurgy,15,4,Машиностроение (СПО),3
