,prof_domain,type,speciality,idustry_code,edu_group_code,speciality_id,edu_group,edu_group_id
0,Добыча нефти и газа,СПО,"Оператор, аппаратчик",mining_oil_gas,21,0,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
3,Добыча нефти и газа,СПО,Монтажник,mining_oil_gas,21,1,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
6,Добыча нефти и газа,СПО,Машинист,mining_oil_gas,21,2,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
12,Добыча нефти и газа,СПО,Мастер по ремонту оборудования,mining_oil_gas,21,3,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
14,Добыча нефти и газа,СПО,Разнорабочий,mining_oil_gas,21,4,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
18,Добыча нефти и газа,СПО,Слесарь,mining_oil_gas,21,5,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
19,Добыча нефти и газа,СПО,Геодезист,mining_oil_gas,21,6,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
22,Добыча нефти и газа,СПО,Геолог,mining_oil_gas,21,7,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
27,Добыча нефти и газа,ВПО,Технолог,mining_oil_gas,21,8,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (ВПО)",1
31,Добыча нефти и газа,ВПО,Инженер-эколог,mining_oil_gas,5,9,Науки о земле (ВПО),2
32,Добыча нефти и газа,ВПО,Геодезист,mining_oil_gas,21,6,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (ВПО)",1
34,Добыча нефти и газа,ВПО,Геолог,mining_oil_gas,21,7,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (ВПО)",1
35,Добыча нефти и газа,ВПО,Геолог,mining_oil_gas,5,7,Науки о земле (ВПО),2
37,Добыча угля и металлических руд,СПО,"Оператор, аппаратчик",mining_coal_ores,21,0,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
41,Добыча угля и металлических руд,СПО,Монтажник,mining_coal_ores,21,1,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
43,Добыча угля и металлических руд,СПО,Машинист,mining_coal_ores,21,2,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
49,Добыча угля и металлических руд,СПО,Мастер по ремонту оборудования,mining_coal_ores,21,3,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
51,Добыча угля и металлических руд,СПО,Разнорабочий,mining_coal_ores,21,4,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
55,Добыча угля и металлических руд,СПО,Слесарь,mining_coal_ores,21,5,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
56,Добыча угля и металлических руд,СПО,Геодезист,mining_coal_ores,21,6,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
59,Добыча угля и металлических руд,СПО,Геолог,mining_coal_ores,21,7,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
61,Добыча угля и металлических руд,ВПО,Технолог,mining_coal_ores,21,8,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (ВПО)",1
63,Добыча угля и металлических руд,ВПО,Инженер-эколог,mining_coal_ores,5,9,Науки о земле (ВПО),2
64,Добыча угля и металлических руд,ВПО,Геодезист,mining_coal_ores,21,6,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (ВПО)",1
66,Добыча угля и металлических руд,ВПО,Геолог,mining_coal_ores,21,7,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (ВПО)",1
67,Добыча угля и металлических руд,ВПО,Геолог,mining_coal_ores,5,7,Науки о земле (ВПО),2
69,Машиностроение,СПО,"Оператор, аппаратчик",mech_engineering,15,0,Машиностроение (СПО),3
73,Машиностроение,СПО,Инженер-конструктор,mech_engineering,15,10,Машиностроение (СПО),3
75,Машиностроение,СПО,Монтажник,mech_engineering,15,1,Машиностроение (СПО),3
77,Машиностроение,СПО,Слесарь,mech_engineering,15,5,Машиностроение (СПО),3
78,Машиностроение,СПО,Сварщик,mech_engineering,15,11,Машиностроение (СПО),3
81,Машиностроение,СПО,Наладчик,mech_engineering,15,12,Машиностроение (СПО),3
87,Машиностроение,СПО,"Токарь, фрезеровщик, шлифовщик",mech_engineering,15,13,Машиностроение (СПО),3
90,Машиностроение,СПО,Контролер ОТК,mech_engineering,15,14,Машиностроение (СПО),3
91,Машиностроение,СПО,Технолог,mech_engineering,15,8,Машиностроение (СПО),3
93,Машиностроение,ВПО,Инженер-проектировщик,mech_engineering,15,15,Машиностроение (ВПО),4
97,Машиностроение,ВПО,Специалист по сертификации,mech_engineering,27,16,Управление в технических системах (ВПО),5
98,Машиностроение,ВПО,Технолог,mech_engineering,15,8,Машиностроение (ВПО),4
100,Машиностроение,ВПО,Инженер по качеству,mech_engineering,27,17,Управление в технических системах (ВПО),5
101,Судостроение,СПО,"Оператор, аппаратчик",shipbuilding,26,0,Техника и технологии кораблестроения и водного транспорта (СПО),6
104,Судостроение,СПО,Контролер ОТК,shipbuilding,15,14,Машиностроение (СПО),3
