code_group,edu_domain
1,Математические и естественные науки
2,Математические и естественные науки
3,Математические и естественные науки
4,Математические и естественные науки
5,Математические и естественные науки
6,Математические и естественные науки
7,"Инженерное дело, технологии и технические науки"
8,"Инженерное дело, технологии и технические науки"
9,"Инженерное дело, технологии и технические науки"
10,"Инженерное дело, технологии и технические науки"
11,"Инженерное дело, технологии и технические науки"
12,"Инженерное дело, технологии и технические науки"
13,"Инженерное дело, технологии и технические науки"
14,"Инженерное дело, технологии и технические науки"
15,"Инженерное дело, технологии и технические науки"
16,"Инженерное дело, технологии и технические науки"
17,"Инженерное дело, технологии и технические науки"
18,"Инженерное дело, технологии и технические науки"
19,"Инженерное дело, технологии и технические науки"
20,"Инженерное дело, технологии и технические науки"
21,"Инженерное дело, технологии и технические науки"
22,"Инженерное дело, технологии и технические науки"
23,"Инженерное дело, технологии и технические науки"
24,"Инженерное дело, технологии и технические науки"
25,"Инженерное дело, технологии и технические науки"
26,"Инженерное дело, технологии и технические науки"
27,"Инженерное дело, технологии и технические науки"
28,"Инженерное дело, технологии и технические науки"
29,"Инженерное дело, технологии и технические науки"
34,Здравоохранение и медицинские науки
35,Сельское хозяйство и сельскохозяйственные науки
36,Сельское хозяйство и сельскохозяйственные науки
37,Науки об обществе
38,Науки об обществе
39,Науки об обществе
40,Науки об обществе
41,Науки об обществе
42,Науки об обществе
43,Науки об обществе
44,Образование и педагогические науки
45,Гуманитарные науки
46,Гуманитарные науки
47,Гуманитарные науки
48,Гуманитарные науки
49,Гуманитарные науки
50,Искусство и культура
51,Искусство и культура
52,Искусство и культура
53,Искусство и культура
54,Искусство и культура
30,Здравоохранение и медицинские науки
31,Здравоохранение и медицинские науки
32,Здравоохранение и медицинские науки
33,Здравоохранение и медицинские науки
36,Здравоохранение и медицинские науки
55,Искусство и культура
56,Оборона и безопасность государства. Военные науки
58,Гуманитарные науки
