,city,Авиастроение и космическая отрасль,Добыча нефти и газа,Добыча угля и металлических руд,Машиностроение,Судостроение,Фармацевтика,Химическая промышленность,Цветная металлургия,Черная металлургия,Электроника и микроэлектроника,coordinates
0,Абаза,13.75,106.07142857142857,86.78571428571428,110.0,68.75,1.9285714285714284,,16.041666666666668,16.041666666666668,9.166666666666666,"[90.088581, 52.651662]"
1,Абакан,132.75,1131.7857142857142,1049.642857142857,1062.0,3225.75,1662.2142857142858,,341.5416666666667,334.875,88.5,"[91.442396, 53.721152]"
2,Абдулино,,194.46428571428572,159.10714285714283,,,3.5357142857142856,,,,,"[53.654989, 53.683962]"
3,Абзелилово,15.75,,,126.0,15.75,,,18.375,18.375,10.5,"[58.661183, 53.467766]"
4,Абинск,,,,,,318.0,,,,,"[38.151288, 44.866237]"
5,Авторемзавод,29.0,,,232.0,29.0,,,33.833333333333336,33.833333333333336,19.333333333333332,"[31.684901, 54.759711]"
6,Агидель,,,,,94.0,,,,,,"[53.933439, 55.899043]"
7,Агроном,19.25,,,154.0,93.25,,,22.458333333333336,22.458333333333336,12.833333333333332,"[39.020525, 53.040294]"
8,Азнакаево,14.25,,,114.0,14.25,60.0,,16.625,16.625,9.5,"[53.079923, 54.858233]"
9,Азов,411.25,,,1806.0,476.25,212.0,212.0,444.45833333333337,444.45833333333337,344.8333333333333,"[39.423581, 47.112448]"
10,Айхал,12.75,80.53571428571428,65.89285714285714,102.0,12.75,1.4642857142857142,,14.875000000000002,14.875000000000002,8.5,"[111.502199, 65.942105]"
11,Ак-Довурак,21.75,168.92857142857144,138.21428571428572,174.0,21.75,3.071428571428571,,25.375,25.375,14.5,"[90.601061, 51.19084]"
12,Акбулак,15.0,,,120.0,15.0,50.0,,17.5,17.5,10.0,"[55.619263, 51.004293]"
13,Аксай,17.0,,,136.0,97.0,73.0,,19.833333333333336,19.833333333333336,169.33333333333334,"[39.862283, 47.269914]"
14,Алапаевск,26.25,,,210.0,139.25,126.0,,30.625000000000004,30.625000000000004,17.5,"[61.694524, 57.852511]"
15,Алатырь,24.75,206.25,168.75,198.0,364.75,109.75,,28.875000000000004,28.875000000000004,16.5,"[46.591949, 54.840526]"
16,Алдан,25.0,161.07142857142856,131.78571428571428,200.0,126.0,51.64285714285714,115.14285714285714,232.15714285714284,225.2238095238095,21.09523809523809,"[125.388878, 58.608597]"
17,Алейск,16.75,,,134.0,87.75,77.0,,19.541666666666668,19.541666666666668,11.166666666666666,"[82.779457, 52.492167]"
18,Александров,25.0,227.85714285714286,186.42857142857142,200.0,126.0,556.1428571428571,,29.166666666666668,29.166666666666668,16.666666666666664,"[38.727621, 56.397774]"
19,Александров Гай,16.0,,,128.0,16.0,,,18.666666666666668,18.666666666666668,10.666666666666666,"[48.585724, 50.143774]"
20,Александровск,10.0,,,80.0,51.0,43.0,,11.666666666666668,11.666666666666668,6.666666666666666,"[57.584669, 59.16293]"
21,Александровск-Сахалинский,,,,,53.0,,,,,,"[142.158915, 50.895768]"
22,Александровское,,,,,87.0,104.0,,,,,"[43.005048, 44.710525]"
23,Александровское,,,,,87.0,104.0,,,,,"[77.868475, 60.426124]"
24,Алексеевка,17.0,,,136.0,17.0,,,19.833333333333336,19.833333333333336,11.333333333333332,"[38.686568, 50.630035]"
25,Алексеевское,,,,,,164.0,,,,,"[50.107272, 55.303248]"
26,Алексин,62.0,346.75,294.25,496.0,62.0,102.67857142857142,230.28571428571428,90.04761904761905,90.04761904761905,50.19047619047618,"[37.066034, 54.502429]"
27,Алтайское,25.5,,,204.0,25.5,117.0,,29.750000000000004,29.750000000000004,17.0,"[85.338182, 51.952237]"
28,Альметьевск,1011.25,11176.785714285714,9144.642857142857,5619.0,1570.25,1501.2142857142858,353.0,1533.4916666666668,1518.7583333333334,791.8333333333333,"[52.29723, 54.901171]"
29,Амурск,14.25,125.71428571428572,102.85714285714286,114.0,14.25,62.785714285714285,143.0,206.825,200.425,15.0,"[136.910607, 50.226797]"
30,Анадырь,,33.39285714285714,27.32142857142857,,6.0,17.607142857142858,,,,,"[177.518913, 64.735814]"
31,Анапа,,220.0,180.0,,490.0,809.0,,,,,"[37.316367, 44.894818]"
32,Ангарск,375.5,,,3004.0,1521.5,1580.0714285714284,3734.7142857142853,1096.8357142857144,1083.5690476190478,2221.9761904761904,"[103.888249, 52.544358]"
33,Анжеро-Судженск,36.0,365.3571428571429,298.92857142857144,288.0,36.0,461.6428571428571,260.0,62.0,62.0,34.0,"[86.018216, 56.08318]"
34,Анна,,,,,,52.0,,,,,"[40.426317, 51.485932]"
35,Апатиты,13.0,2687.607142857143,2313.6785714285716,104.0,62.0,448.3928571428571,,207.43333333333334,200.56666666666666,8.666666666666666,"[33.407187, 67.568023]"
36,Апшеронск,67.5,141.42857142857144,115.71428571428571,540.0,67.5,2.571428571428571,,78.75,78.75,45.0,"[39.727095, 44.465535]"
37,Аргаяш,,,,,,0.0,,,,,"[60.877695, 55.490728]"
38,Аргун,39.25,,,314.0,39.25,,,45.79166666666667,45.79166666666667,26.166666666666664,"[45.867439, 43.292662]"
39,Ардатов,,,,,,101.0,,,,,"[46.241192, 54.84656]"
40,Ардатов,,,,,,101.0,,,,,"[43.095885, 55.239147]"
41,Арзамас,548.0,,,4384.0,644.0,1518.0,,994.0,981.3333333333334,2927.3333333333335,"[43.814133, 55.386799]"
42,Армавир,136.5,2475.0,2025.0,1092.0,1504.5,1128.0714285714284,250.71428571428572,635.8690476190476,619.5357142857142,532.6428571428571,"[41.129644, 44.997655]"
43,Армянск,36.75,,,294.0,36.75,105.28571428571428,248.85714285714283,62.01785714285714,62.01785714285714,34.07142857142857,"[33.691315, 46.110727]"
44,Арсеньев,1047.25,,,408.0,175.25,119.0,30.0,85.125,85.125,61.5,"[133.268729, 44.163345]"
45,Арск,,,,,202.0,,,,,,"[49.876998, 56.091316]"
46,Артем,48.0,263.2142857142857,215.35714285714283,384.0,427.0,119.78571428571429,,56.0,56.0,32.0,"[132.180339, 43.353047]"
47,Артемовский,16.25,,,130.0,154.25,,,18.958333333333336,18.958333333333336,10.833333333333332,"[61.895513, 57.337669]"
48,Арти,5.25,,,42.0,28.25,,,6.125,6.125,3.5,"[58.532544, 56.416794]"
49,Архангельск,974.5,14535.642857142857,12222.071428571428,4611.0,10036.5,7686.642857142857,2393.8571428571427,1210.2261904761904,1210.2261904761904,1523.904761904762,"[40.515762, 64.539911]"
50,Асбест,23.0,275.0,225.0,184.0,122.0,115.0,,26.833333333333336,26.833333333333336,15.333333333333332,"[61.461474, 57.014317]"
51,Асино,16.75,,,134.0,16.75,62.0,,155.80833333333334,150.94166666666666,11.166666666666666,"[86.153906, 56.997519]"
52,Аскиз,,,,,88.0,,,,,,"[90.533786, 53.131974]"
53,Астрахань,1110.75,15252.785714285714,13190.642857142857,8886.0,26331.75,21726.857142857145,5818.428571428571,2801.8464285714285,2764.046428571429,5886.285714285715,"[48.030178, 46.347614]"
54,Аткарск,15.0,,,120.0,15.0,,,17.5,17.5,10.0,"[45.003655, 51.877724]"
55,Атяшево,4.75,,,38.0,4.75,,,5.541666666666667,5.541666666666667,3.1666666666666665,"[46.077537, 54.588027]"
56,Ахтубинск,2174.0,,,,171.0,73.0,,,,1640.0,"[46.164422, 48.284884]"
57,Ахтырский,30.0,263.2142857142857,215.35714285714283,240.0,152.0,4.785714285714286,,341.1333333333333,330.20000000000005,20.0,"[38.299825, 44.85036]"
58,Ачинск,116.75,60.89285714285714,49.82142857142857,934.0,225.75,340.6785714285714,315.71428571428567,998.6273809523809,968.6940476190476,281.9761904761905,"[90.49524, 56.269501]"
59,Багдарин,,149.28571428571428,122.14285714285714,,,2.714285714285714,,,,,"[113.592031, 54.443937]"
60,Базарный Карабулак,,157.14285714285714,128.57142857142856,,,2.8571428571428568,,,,,"[46.408495, 52.279892]"
61,Байкальск,12.5,,,100.0,12.5,,,14.583333333333334,14.583333333333334,8.333333333333332,"[104.149928, 51.522826]"
62,Баймак,54.5,,,436.0,216.5,,,63.583333333333336,63.583333333333336,36.33333333333333,"[58.308136, 52.597811]"
63,Бакал,9.75,80.53571428571428,65.89285714285714,78.0,9.75,38.464285714285715,,11.375,11.375,6.5,"[58.80918, 54.938064]"
64,Бакалы,,,,,88.0,,,,,,"[53.801935, 55.175987]"
65,Баксан,22.5,,,180.0,22.5,,,26.25,26.25,15.0,"[43.534622, 43.681946]"
66,Балаково,720.5,,,1802.0,1991.5,1375.0714285714284,2090.714285714286,1882.7357142857143,1846.3357142857142,727.6428571428571,"[47.819676, 52.01843]"
67,Балахна,52.0,,,416.0,121.0,,,221.2,215.46666666666667,174.66666666666666,"[43.601331, 56.504919]"
68,Балашиха,32.0,78.0,78.0,256.0,180.0,765.8571428571429,278.57142857142856,58.76190476190476,58.76190476190476,276.04761904761904,"[37.938118, 55.797007]"
69,Балашов,53.25,230.07142857142856,190.78571428571428,426.0,177.25,569.9285714285714,,62.12500000000001,62.12500000000001,35.5,"[43.146478, 51.554601]"
70,Балгазын,,,,,,62.0,,,,,"[95.171761, 50.998047]"
71,Барабинск,,,,,197.0,,,,,,"[78.341923, 55.350412]"
72,Баранчинский,11.5,106.07142857142857,86.78571428571428,92.0,61.5,1.9285714285714284,,112.35000000000001,108.81666666666668,7.666666666666666,"[59.696581, 58.162281]"
73,Барда,6.5,68.75,56.25,52.0,33.5,29.25,,7.583333333333334,7.583333333333334,4.333333333333333,"[55.591451, 56.927192]"
74,Барнаул,2515.0,11217.571428571428,10243.285714285714,11377.0,10587.0,23970.142857142855,7058.142857142857,4556.057142857143,4506.657142857142,3752.4285714285716,"[83.776856, 53.346785]"
75,Барыш,12.75,,,102.0,12.75,,,14.875000000000002,14.875000000000002,8.5,"[47.118038, 53.653474]"
76,Батайск,29.75,,,238.0,169.75,127.0,,34.708333333333336,34.708333333333336,499.8333333333333,"[39.744469, 47.138333]"
77,Батырево,,,,,62.0,,,,,,"[47.604449, 55.067489]"
78,Бахчисарай,28.25,,,226.0,490.25,,,32.958333333333336,32.958333333333336,18.833333333333332,"[33.848035, 44.744997]"
79,Бегуницы,14.0,,,112.0,14.0,,,16.333333333333336,16.333333333333336,9.333333333333332,"[29.30494, 59.58506]"
80,Бежецк,22.0,,,176.0,22.0,90.0,,25.666666666666668,25.666666666666668,14.666666666666666,"[36.693188, 57.781318]"
81,Безенчук,,,,,77.0,106.0,,,,,"[49.433212, 52.984398]"
82,Белая Глина,,,,,,72.0,,,,,"[40.871333, 46.073671]"
83,Белая Калитва,35.5,,,284.0,157.5,,,299.0166666666667,289.8166666666667,23.666666666666664,"[40.802388, 48.177644]"
84,Белая Холуница,7.25,,,58.0,7.25,,,62.59166666666667,60.65833333333334,4.833333333333333,"[50.85273, 58.84356]"
85,Белгород,4407.75,12620.892857142857,10649.821428571428,19806.0,8080.75,37708.53571428571,9484.285714285714,7686.089285714286,7602.089285714286,7152.357142857143,"[36.587277, 50.595414]"
86,Белебей,67.75,,,542.0,1285.75,5.0,,79.04166666666667,79.04166666666667,45.166666666666664,"[54.110111, 54.103214]"
87,Белово,232.25,3260.714285714286,2667.857142857143,535.0,234.25,248.28571428571428,189.0,239.45833333333334,239.45833333333334,553.8333333333334,"[86.303701, 54.42212]"
88,Белокуриха,,,,,,47.0,,,,,"[84.983968, 51.996077]"
89,Белорецк,209.75,,,838.0,265.75,120.0,120.0,1387.6416666666669,1346.1083333333333,179.83333333333331,"[58.410023, 53.967621]"
90,Белореченск,21.75,259.2857142857143,212.14285714285714,174.0,109.75,1276.5714285714284,174.57142857142856,260.93690476190477,253.00357142857143,21.214285714285715,"[39.86849, 44.766017]"
91,Белоярский,32.25,,,258.0,158.25,76.0,,37.625,37.625,21.5,"[66.667597, 63.716043]"
92,Белоярский,32.25,,,258.0,158.25,76.0,,37.625,37.625,21.5,"[61.393211, 56.750981]"
93,Белый Яр,3.5,,,28.0,3.5,,,4.083333333333334,4.083333333333334,2.333333333333333,"[85.047236, 58.442558]"
94,Бердск,43.25,,,346.0,245.25,321.1428571428571,371.42857142857144,79.0297619047619,79.0297619047619,385.1190476190476,"[83.107135, 54.758288]"
95,Березники,389.0,1290.5357142857142,1055.892857142857,3112.0,882.0,1254.9642857142858,2509.0,646.8333333333334,646.8333333333334,355.8333333333333,"[56.806719, 59.407024]"
96,Березовка,26.5,,,212.0,26.5,,,30.916666666666668,30.916666666666668,17.666666666666664,"[93.126603, 56.037136]"
97,Березовский,47.0,275.0,225.0,376.0,134.0,183.42857142857144,126.28571428571428,234.4142857142857,228.34761904761905,36.19047619047619,"[60.816457, 56.909583]"
98,Березовский,47.0,275.0,225.0,376.0,134.0,183.42857142857144,126.28571428571428,234.4142857142857,228.34761904761905,36.19047619047619,"[86.274523, 55.669361]"
99,Беседа,,,,,149.0,,,,,,"[28.969985, 59.357677]"
100,Бея,,121.78571428571428,99.64285714285714,,,2.214285714285714,,,,,"[90.920592, 53.045567]"
101,Бийск,2452.75,1155.0,945.0,2406.0,1283.75,3796.785714285714,2549.857142857143,547.0178571428571,547.0178571428571,872.5714285714286,"[85.220656, 52.541811]"
102,Билибино,,,,,12.0,20.0,,,,,"[166.451139, 68.057129]"
103,Биробиджан,,528.1785714285714,499.9642857142857,,242.0,56.82142857142857,,,,,"[132.924746, 48.78992]"
104,Бирск,,1014.25,976.75,,134.0,3523.75,,222.13333333333333,214.2,278.0,"[55.530716, 55.417531]"
105,Бирюч,95.5,,,211.0,95.5,79.0,79.0,98.25,98.25,90.0,"[38.40023, 50.649337]"
106,Бисерть,4.75,,,38.0,4.75,,,5.541666666666667,5.541666666666667,3.1666666666666665,"[59.050629, 56.862243]"
107,Благовещенка,14.25,113.92857142857143,93.21428571428571,114.0,14.25,67.07142857142857,,16.625,16.625,9.5,"[79.868718, 52.833975]"
108,Благовещенск,5459.0,9760.535714285714,8125.892857142857,3483.0,6548.0,9955.035714285714,2590.7142857142853,970.2190476190476,963.3523809523809,1055.8095238095239,"[55.955224, 55.049854]"
109,Благовещенск,5459.0,9760.535714285714,8125.892857142857,3483.0,6548.0,9955.035714285714,2590.7142857142853,970.2190476190476,963.3523809523809,1055.8095238095239,"[127.534611, 50.257456]"
110,Благодарный,26.5,,,212.0,128.5,121.0,,30.916666666666668,30.916666666666668,17.666666666666664,"[43.44003, 45.095656]"
111,Богатое,,,,,26.0,,,,,,"[51.339994, 53.059824]"
112,Богатые Сабы,,,,,41.0,,,,,,"[50.443484, 56.008269]"
