,city,18,19,21,27,33,4,6,coordinates
0,Абаза,,,54.0,,,,,"[90.088581, 52.651662]"
1,Абакан,,103.0,230.0,,260.0,,1031.0,"[91.442396, 53.721152]"
2,Абдулино,,,99.0,,,,,"[53.654989, 53.683962]"
3,Абинск,,,,,159.0,,,"[38.151288, 44.866237]"
4,Азнакаево,,60.0,,,,,,"[53.079923, 54.858233]"
5,Азов,,,,212.0,,,,"[39.423581, 47.112448]"
6,Айхал,,,41.0,,,,,"[111.502199, 65.942105]"
7,Ак-Довурак,,,86.0,,,,,"[90.601061, 51.19084]"
8,Акбулак,,50.0,,,,,,"[55.619263, 51.004293]"
9,Аксай,,73.0,,,,,,"[39.862283, 47.269914]"
10,Алапаевск,,126.0,,,,,,"[61.694524, 57.852511]"
11,Алатырь,,106.0,105.0,,,,,"[46.591949, 54.840526]"
12,Алдан,62.0,,82.0,,,,,"[125.388878, 58.608597]"
13,Алейск,,77.0,,,,,,"[82.779457, 52.492167]"
14,Александров,,102.0,116.0,,225.0,,,"[38.727621, 56.397774]"
15,Александровск,,43.0,,,,,,"[57.584669, 59.16293]"
16,Александровское,,104.0,,,,,,"[43.005048, 44.710525]"
17,Александровское,,104.0,,,,,,"[77.868475, 60.426124]"
18,Алексеевское,,164.0,,,,,,"[50.107272, 55.303248]"
19,Алексин,124.0,,147.0,,,,,"[37.066034, 54.502429]"
20,Алтайское,,117.0,,,,,,"[85.338182, 51.952237]"
21,Альметьевск,,113.0,5690.0,353.0,416.0,,,"[52.29723, 54.901171]"
22,Амурск,77.0,,64.0,,,,,"[136.910607, 50.226797]"
23,Анадырь,,17.0,17.0,,,,,"[177.518913, 64.735814]"
24,Анапа,,359.0,112.0,,223.0,,,"[37.316367, 44.894818]"
25,Ангарск,2011.0,,,,,,,"[103.888249, 52.544358]"
26,Анжеро-Судженск,140.0,167.0,186.0,,89.0,,,"[86.018216, 56.08318]"
27,Анна,,52.0,,,,,,"[40.426317, 51.485932]"
28,Апатиты,,74.0,1047.0,,,199.0,138.0,"[33.407187, 67.568023]"
29,Апшеронск,,,72.0,,,,,"[39.727095, 44.465535]"
30,Аргаяш,,,,,,,,"[60.877695, 55.490728]"
31,Ардатов,,101.0,,,,,,"[46.241192, 54.84656]"
32,Ардатов,,101.0,,,,,,"[43.095885, 55.239147]"
33,Арзамас,,204.0,,,657.0,,,"[43.814133, 55.386799]"
34,Армавир,135.0,233.0,1260.0,,372.0,,,"[41.129644, 44.997655]"
35,Армянск,134.0,,,,,,,"[33.691315, 46.110727]"
36,Арсеньев,,89.0,,30.0,,,,"[133.268729, 44.163345]"
37,Артем,,115.0,134.0,,,,,"[132.180339, 43.353047]"
38,Архангельск,1044.0,1801.0,6478.0,455.0,1451.0,492.0,985.0,"[40.515762, 64.539911]"
39,Асбест,,110.0,140.0,,,,,"[61.461474, 57.014317]"
40,Асино,,62.0,,,,,,"[86.153906, 56.997519]"
41,Астрахань,3133.0,1655.0,5774.0,,6403.0,1431.0,3167.0,"[48.030178, 46.347614]"
42,Ахтубинск,,73.0,,,,,,"[46.164422, 48.284884]"
43,Ахтырский,,,134.0,,,,,"[38.299825, 44.85036]"
44,Ачинск,170.0,206.0,31.0,,,,,"[90.49524, 56.269501]"
45,Багдарин,,,76.0,,,,,"[113.592031, 54.443937]"
46,Базарный Карабулак,,,80.0,,,,,"[46.408495, 52.279892]"
47,Бакал,,37.0,41.0,,,,,"[58.80918, 54.938064]"
48,Балаково,821.0,164.0,,566.0,,,,"[47.819676, 52.01843]"
49,Балашиха,150.0,,,,,,648.0,"[37.938118, 55.797007]"
50,Балашов,,,110.0,,283.0,,,"[43.146478, 51.554601]"
51,Балгазын,,62.0,,,,,,"[95.171761, 50.998047]"
52,Баранчинский,,,54.0,,,,,"[59.696581, 58.162281]"
53,Барда,,28.0,35.0,,,,,"[55.591451, 56.927192]"
54,Барнаул,3128.0,5502.0,2728.0,1249.0,3714.0,2939.0,4297.0,"[83.776856, 53.346785]"
55,Батайск,,127.0,,,,,,"[39.744469, 47.138333]"
56,Бежецк,,90.0,,,,,,"[36.693188, 57.781318]"
57,Безенчук,,106.0,,,,,,"[49.433212, 52.984398]"
58,Белая Глина,,72.0,,,,,,"[40.871333, 46.073671]"
59,Белгород,3918.0,3959.0,5519.0,2208.0,12604.0,947.0,2111.0,"[36.587277, 50.595414]"
60,Белебей,,5.0,,,,,,"[54.110111, 54.103214]"
61,Белово,,,1660.0,189.0,,,,"[86.303701, 54.42212]"
62,Белокуриха,,47.0,,,,,,"[84.983968, 51.996077]"
63,Белорецк,,,,120.0,,,,"[58.410023, 53.967621]"
64,Белореченск,94.0,98.0,132.0,,550.0,,,"[39.86849, 44.766017]"
65,Белоярский,,76.0,,,,,,"[66.667597, 63.716043]"
66,Белоярский,,76.0,,,,,,"[61.393211, 56.750981]"
67,Бердск,200.0,164.0,,,,,,"[83.107135, 54.758288]"
68,Березники,1351.0,170.0,657.0,,,,,"[56.806719, 59.407024]"
69,Березовский,68.0,125.0,140.0,,,,,"[60.816457, 56.909583]"
70,Березовский,68.0,125.0,140.0,,,,,"[86.274523, 55.669361]"
71,Бея,,,62.0,,,,,"[90.920592, 53.045567]"
72,Бийск,1373.0,1495.0,588.0,,445.0,,312.0,"[85.220656, 52.541811]"
73,Билибино,,20.0,,,,,,"[166.451139, 68.057129]"
74,Биробиджан,,54.0,79.0,,,,,"[132.924746, 48.78992]"
75,Бирск,,240.0,105.0,,663.0,927.0,1027.0,"[55.530716, 55.417531]"
76,Бирюч,,,,79.0,,,,"[38.40023, 50.649337]"
77,Благовещенка,,65.0,58.0,,,,,"[79.868718, 52.833975]"
78,Благовещенск,1346.0,5425.0,4577.0,91.0,359.0,1337.0,1163.0,"[55.955224, 55.049854]"
79,Благовещенск,1346.0,5425.0,4577.0,91.0,359.0,1337.0,1163.0,"[127.534611, 50.257456]"
80,Благодарный,,121.0,,,,,,"[43.44003, 45.095656]"
81,Богданович,62.0,,,,,,,"[62.057129, 56.773977]"
82,Богородицк,,61.0,88.0,,,,,"[38.131696, 53.770699]"
83,Богучаны,,39.0,,,,,,"[97.445128, 58.379901]"
84,Бодайбо,,,133.0,,,,,"[114.199867, 57.847975]"
85,Болгар,,62.0,,,,,,"[49.022628, 54.982239]"
86,Большая Атня,,52.0,,,,,,"[49.451978, 56.250707]"
87,Большая Глушица,,,49.0,,,,,"[50.471907, 52.392769]"
88,Большое Болдино,,30.0,,,,,,"[45.310861, 55.00359]"
89,Большое Нагаткино,,47.0,,,,,,"[47.97415, 54.515946]"
90,Большой Камень,,,,131.0,,,,"[132.350345, 43.111725]"
91,Бор,,113.0,,,,,,"[44.064575, 56.356522]"
92,Бор,,113.0,,,,,,"[33.792357, 59.473563]"
93,Борзя,,103.0,,,,,,"[116.527042, 50.391551]"
94,Борисоглебск,,108.0,128.0,,234.0,,,"[42.075183, 51.366308]"
95,Борисоглебский,,64.0,,,,,,"[39.153323, 57.260969]"
96,Боровичи,105.0,,,,113.0,,,"[33.910459, 58.390115]"
97,Бочкари,,75.0,,,,,,"[85.764433, 52.884926]"
