city,postgraduates_per_100_students,citations_per_100_researchers,publications_per_100_researchers,rnd_volume,grants,coordinates
Абакан,688,67492.0,91894.0,47290.6,1534.0,"[91.442396, 53.721152]"
Азов,0,0.0,0.0,23000.0,0.0,"[39.423581, 47.112448]"
Алатырь,0,0.0,0.0,139780.0,0.0,"[46.591949, 54.840526]"
Альметьевск,1264,60888.0,90486.0,226804.6,0.0,"[52.29723, 54.901171]"
Анадырь,0,0.0,0.0,1259.0,0.0,"[177.518913, 64.735814]"
Анапа,0,0.0,0.0,118263.2,0.0,"[37.316367, 44.894818]"
Ангарск,296,141210.0,109040.0,10260.4,284.0,"[103.888249, 52.544358]"
Апатиты,0,0.0,0.0,11701.5,0.0,"[33.407187, 67.568023]"
Арзамас,0,0.0,0.0,11361.8,0.0,"[43.814133, 55.386799]"
Армавир,1282,167778.66,47934.66,109615.2,230.0,"[41.129644, 44.997655]"
Армянск,0,0.0,0.0,0.0,0.0,"[33.691315, 46.110727]"
Арсеньев,0,0.0,0.0,0.0,0.0,"[133.268729, 44.163345]"
Архангельск,3128,100708.94,76410.0,970891.2,1790.0,"[40.515762, 64.539911]"
Астрахань,6974,79107.16,272790.0,351209.6,794.0,"[48.030178, 46.347614]"
Ахтубинск,0,0.0,0.0,0.0,0.0,"[46.164422, 48.284884]"
Ачинск,0,0.0,0.0,6997.2,0.0,"[90.49524, 56.269501]"
Балаково,0,0.0,0.0,142600.0,0.0,"[47.819676, 52.01843]"
Балахна,0,0.0,0.0,0.0,0.0,"[43.601331, 56.504919]"
Балашиха,542,5712.3,108838.0,261106.6,0.0,"[37.938118, 55.797007]"
Балашов,0,0.0,0.0,0.0,0.0,"[43.146478, 51.554601]"
Барнаул,4924,244619.08,439674.0,848897.6,3160.0,"[83.776856, 53.346785]"
Белгород,6498,251314.8,326966.0,2985046.4,5710.0,"[36.587277, 50.595414]"
Белебей,0,0.0,0.0,183580.0,0.0,"[54.110111, 54.103214]"
Белово,0,0.0,0.0,8195.6,0.0,"[86.303701, 54.42212]"
Белокуриха,0,0.0,0.0,18400.0,0.0,"[84.983968, 51.996077]"
Белорецк,0,0.0,0.0,0.0,0.0,"[58.410023, 53.967621]"
Белореченск,0,0.0,0.0,0.0,0.0,"[39.86849, 44.766017]"
Березники,0,0.0,0.0,12002.0,0.0,"[56.806719, 59.407024]"
Бийск,610,2087.88,88532.0,123081.8,644.0,"[85.220656, 52.541811]"
Биробиджан,144,2450.42,33725.0,10261.2,224.0,"[132.924746, 48.78992]"
Бирск,0,0.0,0.0,21350.0,0.0,"[55.530716, 55.417531]"
Благовещенск,6555,390559.92,393204.0,464918.4,1998.0,"[55.955224, 55.049854]"
Благовещенск,6555,390559.92,393204.0,464918.4,1998.0,"[127.534611, 50.257456]"
Бокситогорск,0,0.0,0.0,7663.4,0.0,"[33.847675, 59.473576]"
Большие Вяземы,0,0.0,0.0,2520.0,0.0,"[36.99442, 55.628586]"
Борисоглебск,0,0.0,0.0,2871.4,0.0,"[42.075183, 51.366308]"
Братск,452,3571.1,51146.0,131479.6,0.0,"[101.633505, 56.151682]"
